Country,Code,Region,Sub-Region,Year,Status,Income classifications,Life expectancy,Population,GDP Per Capita,"GNI per capita, PPP ($)",Total expenditure,Adult Mortality,infant deaths,Alcohol,health expenditure per capita $,health expenditure % of GDP,Hepatitis B (% of one-year-olds immunized),Polio (% of one-year-olds immunized),Measles per 1000,Measles MCV1 (% of one-year-olds immunized),under-five deaths,"Diphtheria, Pertussis, Tentanus (% of one-year-olds immunized)", HIV/AIDS, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Alcohol use disorders  (%),Drug use disorders (%),Avg Total Years of Schooling for Adult,"Government expenditure on education, total (% of GDP)",Mental disorders (%),obesity among adults (%),Gini coefficient,daily smoking in populations aged 10 and older (%),Neoplasms (Percent),Deaths - HIV/AIDS
Albania,ALB,Europe,Southern Europe,2001,Developing,Lower-middle income,73.6,3153615,1281.659826,6645.348145,6,14,1,4.25,73.79,5.93,96,97,18,95,1,97,0.1,2.1,2.1,0.662,1.73,0.46,8.7,3.458699942,11.71,13.3,,,0.891745912,0.01
Albania,ALB,Europe,Southern Europe,2002,Developing,Lower-middle income,73.3,3123554,1425.124219,6920.555176,6.3,15,1,3.73,78.99,5.66,96,98,16,96,1,98,0.1,2,2.1,0.67,1.73,0.46,9,3.117799997,11.7,13.9,0.317389798,,0.913635467,0.01
Albania,ALB,Europe,Southern Europe,2003,Developing,Lower-middle income,72.8,3092993,1846.120121,7341.563965,6.27,18,1,4.29,111.46,6.2,97,97,8,93,1,97,0.1,1.9,2,0.674,1.73,0.46,9,3.138240099,11.69,14.4,,,0.934813692,0.01
Albania,ALB,Europe,Southern Europe,2004,Developing,Lower-middle income,73,3062629,2373.581292,7756.648438,6.38,17,1,4.54,141.91,6.06,99,98,7,96,1,97,0.1,1.8,1.9,0.681,1.73,0.46,9.1,3.227519989,11.68,15,,,0.953381463,0.01
Albania,ALB,Europe,Southern Europe,2005,Developing,Lower-middle income,73.5,3032636,2673.786584,8197.994141,6.12,15,1,5.16,154.88,5.83,98,97,6,97,1,98,0.1,1.8,1.8,0.685,1.73,0.46,9.1,3.281549931,11.66,15.6,0.305956557,15.826,0.971446631,0.01
Albania,ALB,Europe,Southern Europe,2006,Developing,Lower-middle income,74.2,3003391,2972.742924,8814.501953,5.86,99,1,5.31,168.42,5.69,98,97,68,95,1,97,0.1,1.7,1.8,0.696,1.73,0.46,9.2,3.191459894,11.64,16.2,,,0.992856718,0.01
Albania,ALB,Europe,Southern Europe,2007,Developing,Lower-middle income,75.9,2976089,3595.038057,9399.46875,6.1,9,1,5.58,204.8,5.71,98,99,22,97,1,98,0.1,1.6,1.7,0.703,1.74,0.47,9.2,3.275929928,11.62,16.9,,,1.008591645,0.01
Albania,ALB,Europe,Southern Europe,2008,Developing,Lower-middle income,75.3,2951690,4370.539925,9962.442383,5.87,1,1,5.61,240.44,5.51,99,99,0,98,1,99,0.1,1.6,1.6,0.713,1.74,0.47,9.2,,11.6,17.5,0.299846704,,1.040675187,0.01
Albania,ALB,Europe,Southern Europe,2009,Developing,Upper-middle income,76.1,2930553,4114.134899,10153.0957,5.79,91,1,5.79,235.4,5.73,98,98,0,97,1,98,0.1,1.5,1.6,0.721,1.74,0.47,9.3,,11.58,18.1,,,1.060334052,0.01
Albania,ALB,Europe,Southern Europe,2010,Developing,Upper-middle income,76.2,2913402,4094.348386,10643.05762,5.34,91,1,5.28,255.41,6.24,99,99,10,99,1,99,0.1,1.4,1.5,0.725,1.74,0.47,9.3,,11.57,18.7,,17.211,1.073009036,0.01
Albania,ALB,Europe,Southern Europe,2011,Developing,Lower-middle income,76.6,2900660,4437.142612,11056.64551,5.71,88,0,5.37,271.96,6.12,99,99,28,99,1,99,0.1,1.4,1.5,0.738,1.74,0.48,9.3,,11.57,19.3,,,1.088156316,0.01
Albania,ALB,Europe,Southern Europe,2012,Developing,Upper-middle income,76.9,2892191,4247.630047,11146.2627,5.59,86,0,5.14,259.53,6.09,99,99,9,98,1,99,0.1,1.3,1.4,0.752,1.74,0.48,9.6,,11.57,19.9,0.289604846,,1.101678523,0.01
Albania,ALB,Europe,Southern Europe,2013,Developing,Upper-middle income,77.2,2887019,4413.062005,11552.98242,5.66,84,0,4.76,277.58,6.27,99,99,0,99,1,99,0.1,1.3,1.4,0.759,1.73,0.48,9.7,3.539299965,11.58,20.5,,,1.114455725,0.01
Albania,ALB,Europe,Southern Europe,2014,Developing,Upper-middle income,77.5,2884100,4578.633208,11691.64844,5.88,8,0,4.51,295.45,6.44,98,98,0,98,1,98,0.1,1.2,1.3,0.761,1.72,0.48,9.7,,11.58,21.1,0.345988965,,1.127605484,0.01
Albania,ALB,Europe,Southern Europe,2015,Developing,Upper-middle income,77.8,2882482,3952.802538,12016.29785,6,74,0,4.6,256.13,6.48,99,99,0,97,0,99,0.1,1.2,1.3,0.762,1.71,0.48,9.7,3.437969923,11.58,21.7,0.327537318,,1.138578417,0.01
Algeria,DZA,Africa,Northern Africa,2000,Developing,Lower-middle income,71.3,30774624,1780.375874,8392.020508,3.49,145,21,0.25,62.12,3.49,,86,0,80,25,86,0.1,6.5,6.4,0.636,0.44,0.39,5.9,,14.97,15,,12.11,0.442733016,0.08
Algeria,DZA,Africa,Northern Africa,2001,Developing,Lower-middle income,71.4,31200984,1754.582838,8655.40625,3.84,145,20,0.23,67.34,3.84,,89,2686,83,24,89,0.1,6.4,6.3,0.644,0.44,0.39,6.1,,14.96,15.5,,,0.452620437,0.09
Algeria,DZA,Africa,Northern Africa,2002,Developing,Lower-middle income,71.6,31624700,1794.811114,8959.828125,3.73,145,20,0.36,66.95,3.73,,86,5862,81,23,86,0.1,6.3,6.2,0.653,0.44,0.4,6.3,,14.93,16.1,,,0.464768786,0.1
Algeria,DZA,Africa,Northern Africa,2003,Developing,Lower-middle income,71.7,32055882,2117.047545,9488.768555,3.6,146,20,0.34,76.24,3.6,,87,15374,84,23,87,0.1,6.3,6.1,0.663,0.44,0.4,6.5,,14.9,16.7,,,0.477732647,0.11
Algeria,DZA,Africa,Northern Africa,2004,Developing,Lower-middle income,72.3,32510184,2624.795232,9719.483398,3.54,14,19,0.45,93.02,3.54,81,86,3289,81,23,86,0.1,6.2,6.1,0.673,0.44,0.41,6.7,,14.87,17.3,,,0.491723717,0.13
Algeria,DZA,Africa,Northern Africa,2005,Developing,Lower-middle income,72.9,32956690,3131.328532,10049.69727,3.24,136,19,0.5,101.3,3.24,83,88,2302,83,22,88,0.1,6.1,6,0.68,0.44,0.42,6.9,,14.84,17.9,,11.548,0.503969501,0.14
Algeria,DZA,Africa,Northern Africa,2006,Developing,Lower-middle income,73.4,33435082,3500.135413,10137.74707,3.36,132,20,0.36,117.43,3.36,80,95,944,91,23,95,0.1,6.1,6,0.686,0.44,0.42,7,,14.82,18.6,,,0.513983508,0.15
Algeria,DZA,Africa,Northern Africa,2007,Developing,Lower-middle income,73.8,33983836,3971.803488,10563.37207,3.82,129,20,0.44,151.78,3.82,90,95,0,92,23,95,0.1,6,5.9,0.69,0.44,0.43,7.2,,14.78,19.2,,,0.522621473,0.17
Algeria,DZA,Africa,Northern Africa,2008,Developing,Upper-middle income,74.1,34569590,4946.564017,10694.43555,4.2,126,20,0.46,207.85,4.2,91,92,217,88,23,93,0.1,6,5.9,0.697,0.44,0.44,6.7,4.33701992,14.75,19.9,,,0.530016,0.18
Algeria,DZA,Africa,Northern Africa,2009,Developing,Upper-middle income,74.4,35196040,3898.4797,10666.52539,5.36,123,20,0.5,208.94,5.36,94,94,107,92,23,95,0.1,6,5.9,0.705,0.44,0.45,6.9,,14.72,20.7,,,0.53873498,0.19
Algeria,DZA,Africa,Northern Africa,2010,Developing,Upper-middle income,74.7,35856348,4495.920448,10918.46484,5.12,119,21,0.45,230.06,5.12,95,95,103,95,24,95,0.1,5.9,5.8,0.714,0.44,0.45,7.1,,14.71,21.4,,10.761,0.544098259,0.2
Algeria,DZA,Africa,Northern Africa,2011,Developing,Upper-middle income,74.9,36543548,5473.28055,10945.4248,5.29,116,21,0.56,288.31,5.27,95,95,112,95,24,95,0.1,5.9,5.8,0.724,0.43,0.46,7.4,,14.7,22.2,0.276157309,,0.550248464,0.2
Algeria,DZA,Africa,Northern Africa,2012,Developing,Upper-middle income,75.1,37260570,5610.730894,11066.79688,6.14,113,21,0.66,336.67,6,95,95,18,95,24,95,0.1,5.9,5.8,0.732,0.43,0.47,7.6,,14.71,23.1,,,0.55558806,0.2
Algeria,DZA,Africa,Northern Africa,2013,Developing,Upper-middle income,75.3,38000628,5519.777576,11077.58008,7.12,112,21,0.53,333.16,6.04,95,95,25,95,24,95,0.1,5.9,5.8,0.737,0.43,0.47,7.8,,14.73,23.9,,,0.560418663,0.2
Algeria,DZA,Africa,Northern Africa,2014,Developing,Upper-middle income,75.4,38760170,5516.230604,11242.29102,7.21,11,21,0.01,361.16,6.55,95,95,0,95,24,95,0.1,6,5.8,0.741,0.43,0.48,7.9,,14.74,24.8,,,0.566917357,0.2
Algeria,DZA,Africa,Northern Africa,2015,Developing,Upper-middle income,75.6,39543148,4197.421361,11421.66895,,19,21,,292.92,6.98,95,95,63,95,24,95,0.1,6,5.8,0.743,0.43,0.48,7.9,,14.74,25.7,,,0.572269716,0.18
Angola,AGO,Africa,Sub-Saharan Africa,2000,Developing,Low income,45.3,16394067,556.8842437,3690.604736,2.79,48,97,1.85,13,1.91,,21,2219,32,160,31,2,1.9,1.9,0.382,1.19,0.36,4.4,2.607530117,13.65,3,0.519568925,6.695,0.434099805,2.34
Angola,AGO,Africa,Sub-Saharan Africa,2001,Developing,Low income,45.7,16941584,527.4632018,3900.710449,5.38,44,97,2.58,28.93,4.48,,28,9046,60,159,42,2.1,1.7,1.7,0.391,1.18,0.36,4.4,,13.64,3.1,,,0.428937025,2.78
Angola,AGO,Africa,Sub-Saharan Africa,2002,Developing,Low income,46.5,17516140,872.6577717,4659.95459,3.63,391,96,2.82,29.05,3.33,,22,11945,59,157,47,2.3,1.5,1.5,0.401,1.17,0.36,4.4,,13.63,3.3,,,0.430016072,3.28
Angola,AGO,Africa,Sub-Saharan Africa,2003,Developing,Low income,46.8,18124346,982.8056006,4684.384766,4.41,388,95,3.49,34.87,3.55,,21,1196,44,155,46,2.4,1.4,1.3,0.406,1.17,0.36,4.4,,13.6,3.5,,,0.432429899,3.75
Angola,AGO,Africa,Sub-Saharan Africa,2004,Developing,Lower-middle income,47.1,18771128,1254.695563,4929.945313,4.71,386,94,3.53,49.78,3.97,,18,29,43,152,47,2.5,1.2,1.1,0.415,1.16,0.36,4.4,,13.58,3.7,,,0.436812811,4.18
Angola,AGO,Africa,Sub-Saharan Africa,2005,Developing,Lower-middle income,47.4,19450962,1900.724725,5390.699707,4.1,382,92,5.04,54.21,2.85,,14,258,21,148,47,2.6,1,9.9,0.426,1.15,0.35,4.4,2.120110035,13.55,3.9,,7.575,0.429818428,4.62
Angola,AGO,Africa,Sub-Saharan Africa,2006,Developing,Lower-middle income,47.7,20162338,2597.962682,5672.126465,4.54,381,90,5.84,69.77,2.69,,8,765,21,143,44,2.5,9.8,9.7,0.439,1.14,0.35,4.5,2.281460047,13.53,4.1,,,0.426642814,4.86
Angola,AGO,Africa,Sub-Saharan Africa,2007,Developing,Lower-middle income,48.2,20909692,3121.350475,6359.181152,3.38,375,87,6.35,92.84,2.97,43,43,1014,58,138,48,2.6,9.6,9.6,0.454,1.13,0.35,4.5,,13.5,4.3,,,0.422090309,5.17
Angola,AGO,Africa,Sub-Saharan Africa,2008,Developing,Lower-middle income,48.7,21691524,4081.715004,6490.787598,3.84,371,84,7.07,135.63,3.32,45,36,265,48,133,49,2.6,9.5,9.4,0.468,1.12,0.35,4.6,,13.46,4.6,0.42715515,,0.420813513,5.51
Angola,AGO,Africa,Sub-Saharan Africa,2009,Developing,Lower-middle income,49.1,22507674,3123.697586,6999.175293,4.37,369,81,7.01,120.03,3.84,47,36,2807,46,127,50,2.5,9.3,9.2,0.48,1.11,0.35,4.7,,13.42,4.8,,,0.419195663,5.85
Angola,AGO,Africa,Sub-Saharan Africa,2010,Developing,Lower-middle income,49.6,23364196,3496.784796,6911.740234,3.39,365,78,7.8,96.66,2.7,49,56,1190,62,121,51,2.5,9.1,9,0.488,1.11,0.35,4.7,3.421319962,13.4,5.1,,8.519,0.418672291,6.22
Angola,AGO,Africa,Sub-Saharan Africa,2011,Developing,Upper-middle income,51,24259120,4511.153227,6885.536621,3.38,361,75,8.06,121.91,2.65,50,50,1449,57,115,52,2.5,8.9,8.8,0.495,1.11,0.35,4.7,3.243769884,13.38,5.3,,,0.417796888,6.66
Angola,AGO,Africa,Sub-Saharan Africa,2012,Developing,Upper-middle income,56,25188298,4962.552072,7280.845703,3.3,358,72,8.24,121.8,2.4,52,54,4458,65,110,53,2.6,8.8,8.6,0.508,1.1,0.35,4.8,3.278470039,13.37,5.6,,,0.417162941,7.09
Angola,AGO,Africa,Sub-Saharan Africa,2013,Developing,Upper-middle income,51.1,26147012,5101.983876,7478.10498,4.26,355,69,8.1,142.89,2.73,54,48,8523,59,105,54,2.3,8.6,8.5,0.523,1.1,0.35,4.9,3.872060061,13.35,5.9,,,0.418031742,7.17
Angola,AGO,Africa,Sub-Saharan Africa,2014,Developing,Upper-middle income,51.7,27128340,5059.080441,7704.231934,3.31,348,67,8.33,130.74,2.43,55,55,11699,56,101,55,2,8.5,8.3,0.527,1.1,0.35,4.9,2.930550098,13.35,6.2,,,0.413972636,7.14
Angola,AGO,Africa,Sub-Saharan Africa,2015,Developing,Upper-middle income,52.4,28127724,3100.830685,7652.65625,,335,66,,107.64,2.61,55,62,118,51,98,59,1.9,8.3,8.2,0.531,1.09,0.35,5,3.486900091,13.35,6.5,,,0.416494111,7.39
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,2000,Developing,Upper-middle income,73.6,75070,11010.19746,,4.13,156,0,7.27,519.13,4.72,,96,0,95,0,95,0.1,3.7,3.6,0,1.99,0.83,7,,13.94,12.1,,2.197,1.033669338,2.84
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,2001,Developing,Upper-middle income,73.8,76227,10502.93881,,4.48,154,0,7.51,571.11,5.44,96,99,0,97,0,97,0.1,3.6,3.5,0,1.99,0.83,8.9,,13.94,12.5,,,1.03435296,2.7
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,2002,Developing,High income,74,77216,10549.66619,,4.41,153,0,7.21,557.9,5.29,99,93,0,99,0,98,0.1,3.6,3.5,0,1.97,0.83,9,3.395250082,13.95,12.9,,,1.037997977,2.57
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,2003,Developing,Upper-middle income,74.2,78095,10968.89268,,4.53,151,0,7.16,612.15,5.58,99,99,0,99,0,99,0.1,3.5,3.5,0,1.95,0.83,9,,13.95,13.3,,,1.040885924,2.25
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,2004,Developing,Upper-middle income,74.4,78955,11650.84848,,4.21,149,0,7.28,596.07,5.12,97,97,0,97,0,97,0.1,3.5,3.4,0,1.94,0.83,9.1,,13.95,13.7,,,1.046156707,2.24
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,2005,Developing,High income,74.6,79879,12808.01015,,4.41,147,0,8.15,639.24,4.99,99,98,0,99,0,99,0.1,3.5,3.4,0,1.94,0.83,9.1,,13.95,14,,2.09,1.05068991,1.95
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,2006,Developing,High income,74.8,80909,14310.68623,,4.34,145,0,8.93,662.72,4.63,99,99,0,99,0,99,0.1,3.4,3.4,0.773,1.96,0.83,9.2,,13.95,14.4,,,1.064423837,1.94
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,2007,Developing,High income,75,82035,16006.13611,,4.27,144,0,8.64,711.56,4.45,97,98,0,99,0,99,0.1,3.4,3.3,0.781,2,0.83,9.2,,13.94,14.8,,,1.082573802,1.5
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,2008,Developing,High income,75.2,83267,16457.10406,,4.69,142,0,8.27,691.21,4.2,98,99,0,99,0,99,0.1,3.4,3.3,0.786,2.04,0.83,9.3,,13.93,15.3,,,1.104548772,1.45
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,2009,Developing,Upper-middle income,75.4,84546,14530.59869,,4.86,14,0,7.82,606.9,4.18,98,98,0,99,0,99,0.1,3.4,3.3,0.788,2.08,0.83,9.3,2.508889914,13.93,15.7,,,1.122895837,1.44
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,2010,Developing,Upper-middle income,75.6,85710,13404.51602,,5.63,138,0,7.84,720.92,5.38,98,99,0,98,0,98,0.1,3.3,3.3,0.783,2.11,0.83,9.2,,13.93,16.1,,2.212,1.14040886,1.57
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,2011,Developing,Upper-middle income,75.7,86749,13117.14694,,5.65,136,0,7.84,714,5.44,99,99,0,99,0,99,0.1,3.3,3.3,0.782,2.13,0.83,9.2,,13.94,16.6,,,1.154819221,1.54
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,2012,Developing,High income,75.9,87688,13686.47659,,5.39,134,0,8.18,749.94,5.48,98,97,0,98,0,98,0.2,3.3,3.3,0.778,2.15,0.83,9.2,,13.97,17,,,1.171404703,1.41
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,2013,Developing,High income,76.1,88512,13350.14914,,5.33,133,0,8.58,735.49,5.51,99,98,0,96,0,99,0.2,3.3,3.3,0.781,2.16,0.83,9.2,,14.01,17.5,,,1.185272432,1.34
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,2014,Developing,High income,76.2,89252,14004.81121,,5.54,131,0,8.56,822.39,5.87,99,96,0,93,0,99,0.2,3.3,3.3,0.782,2.17,0.83,9.2,,14.04,18,,,1.201659551,1.65
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,2015,Developing,High income,76.4,89958,14861.88271,,,13,0,,784.65,5.28,99,86,0,91,0,99,0.2,3.3,3.3,0.784,2.17,0.83,9.2,,14.06,18.6,,,1.215199588,1.61
Argentina,ARG,Americas,Latin America and the Caribbean,2000,Developing,Upper-middle income,74.1,37070772,7666.517834,18180.44922,9.21,137,12,7.68,704.95,8.22,,88,6,91,14,83,0.1,1.2,1.1,0.764,2.56,0.68,9.1,4.580309868,13.82,20.5,,22.915,1.086703649,0.63
Argentina,ARG,Americas,Latin America and the Caribbean,2001,Developing,Upper-middle income,74,37480492,7168.975872,17153.29688,9.38,138,12,7.76,671.37,8.37,,85,0,89,13,83,0.1,1.2,1.1,0.771,2.55,0.68,9.1,4.833740234,13.84,20.9,,,1.092585748,0.62
Argentina,ARG,Americas,Latin America and the Caribbean,2002,Developing,Upper-middle income,74.1,37885024,2579.488769,14727.85059,8.31,138,12,7.81,222.65,7.39,66,94,0,95,13,93,0.1,1.2,1,0.776,2.53,0.69,9.2,4.017340183,13.85,21.4,,,1.097963831,0.63
Argentina,ARG,Americas,Latin America and the Caribbean,2003,Developing,Upper-middle income,74.1,38278164,3333.152904,16057.21094,8.22,137,11,7.62,260.98,6.89,73,95,0,97,13,96,0.1,1.2,1,0.77,2.5,0.7,9.3,3.535049915,13.88,21.8,,,1.104759909,0.63
Argentina,ARG,Americas,Latin America and the Caribbean,2004,Developing,Upper-middle income,74.7,38668796,4258.160261,16058.54395,6.84,13,11,7.63,310.22,7.23,81,91,0,99,12,98,0.1,1.1,1,0.775,2.48,0.71,9.2,3.486520052,13.9,22.3,,,1.099149242,0.6
Argentina,ARG,Americas,Latin America and the Caribbean,2005,Developing,Upper-middle income,74.9,39070504,5086.627761,17271.06445,6.85,127,11,7.53,390.8,7.61,88,95,0,98,12,98,0.1,1.1,1,0.78,2.46,0.71,9.1,3.860009909,13.9,22.8,,20.694,1.099660305,0.56
Argentina,ARG,Americas,Latin America and the Caribbean,2006,Developing,Upper-middle income,75.2,39476856,5890.978002,20131.40234,6.68,127,11,7.75,453.64,7.64,84,92,0,97,12,91,0.1,1.1,0.9,0.782,2.42,0.72,9,4.128210068,13.86,23.2,,,1.108203432,0.58
Argentina,ARG,Americas,Latin America and the Caribbean,2007,Developing,Upper-middle income,74.8,39876116,7210.595548,21872.98633,6.49,129,10,8.16,569.29,7.83,85,92,0,94,12,91,0.1,1.1,0.9,0.788,2.38,0.73,8.9,4.462600231,13.76,23.7,,,1.119985882,0.57
Argentina,ARG,Americas,Latin America and the Caribbean,2008,Developing,Upper-middle income,75.4,40273770,8977.506851,22558.4707,6.66,126,10,8.41,742.9,8.18,90,94,0,96,11,93,0.1,1,0.9,0.792,2.32,0.74,8.9,4.844409943,13.64,24.2,,,1.116681643,0.57
Argentina,ARG,Americas,Latin America and the Caribbean,2009,Developing,Upper-middle income,75.6,40684344,8184.389889,20884.44922,7.63,126,10,8.33,781.78,9.46,94,97,3,96,11,94,0.1,1,0.9,0.794,2.28,0.74,9.3,5.531050205,13.54,24.7,,,1.12896219,0.57
Argentina,ARG,Americas,Latin America and the Caribbean,2010,Developing,Upper-middle income,75.5,41100124,10385.96443,22734.9668,6.55,121,10,8.15,980.14,9.45,94,95,17,95,11,94,0.1,1,0.9,0.802,2.26,0.75,9.8,5.019710064,13.5,25.3,,18.875,1.128786476,0.53
Argentina,ARG,Americas,Latin America and the Caribbean,2011,Developing,Upper-middle income,75.7,41520736,12848.8642,23944.35547,5.89,12,9,8.11,1202.56,9.42,91,93,3,95,10,91,0.1,1,0.9,0.816,2.25,0.75,9.8,5.290629864,13.51,25.8,,,1.135205568,0.51
Argentina,ARG,Americas,Latin America and the Caribbean,2012,Developing,Upper-middle income,75.9,41952364,13082.66433,23557.51367,5.2,12,9,8.35,1361.99,9.83,91,90,2,94,10,91,0.1,1,0.9,0.822,2.25,0.75,9.8,5.345829964,13.52,26.3,,,1.144044375,0.55
Argentina,ARG,Americas,Latin America and the Caribbean,2013,Developing,Upper-middle income,76,42388268,13080.25473,23915.41992,4.99,119,8,8.28,1415.21,9.78,94,90,0,94,10,94,0.1,1,0.9,0.823,2.25,0.75,9.8,5.436610222,13.55,26.9,,,1.151903261,0.54
Argentina,ARG,Americas,Latin America and the Caribbean,2014,Developing,High income,76.2,42824064,12334.79825,23087.86914,4.79,118,8,7.93,1280.61,9.67,94,92,1,95,9,94,0.1,1,0.9,0.825,2.25,0.75,9.8,5.361440182,13.56,27.4,,,1.150444898,0.54
